"","x"
"720","94109"
"721","85053"
"722","19810"
"723","71044"
"724","51561"
"725","68942"
"726","32603"
"727","08540"
"728","08060"
"729","71847"
"730","72540"
"731","06897"
"732","81025"
"733","63953"
"734","02564"
"735","49043"
"736","68421"
"737","32962"
"738","18042"
"739","77611"
"740","72057"
"741","72928"
"742","71820"
"743","62821"
"744","32219"
"745","32423"
"746","02790"
"747","04090"
"748","30072"
"749","04691"
"750","21612"
"751","12062"
"752","28526"
"753","12749"
"754","72640"
"755","72584"
"756","33905"
"757","95369"
"758","20746"
"759","30429"
"760","01463"
"761","02053"
"762","64461"
"763","12771"
"764","28134"
"765","10598"
"766","78401"
"767","71644"
"768","93705"
"769","94924"
"770","31836"
"771","90631"
"772","33914"
"773","30757"
"774","48348"
"775","08203"
"776","48145"
"777","49654"
"778","14437"
"779","58237"
"780","15428"
"781","31650"
"782","96755"
"783","42713"
"784","47557"
"785","30629"
"786","62433"
"787","61019"
"788","01604"
"789","01581"
"790","49253"
"791","48191"
"792","23488"
"793","96796"
"794","45056"
"795","43502"
"796","43119"
"797","49719"
"798","50556"
"799","99031"
"800","02071"
"801","06250"
"802","60637"
"803","06076"
"804","96772"
"805","06883"
"806","32825"
"807","63627"
"808","56057"
"809","43001"
"810","44906"
"811","44410"
"812","73007"
"813","75163"
"814","47342"
"815","60632"
"816","24270"
"817","32765"
"818","04643"
"819","47561"
"820","38870"
"821","13618"
"822","73840"
"823","24941"
"824","98651"
"825","24871"
"826","60458"
"827","25303"
"828","25270"
"829","25112"
"830","04005"
"831","04859"
"832","62885"
"833","65658"
"834","14885"
"835","64431"
"836","68023"
"837","83354"
"838","27936"
"839","74730"
"840","15417"
"841","26050"
"842","44511"
"843","55407"
"844","45674"
"845","68350"
"846","04684"
"847","04479"
"848","61466"
"849","58273"
"850","04655"
"851","47665"
"852","04063"
"853","04109"
"854","28411"
"855","07874"
"856","07036"
"857","53083"
"858","53820"
"859","61528"
"860","73931"
"861","19135"
"862","15022"
"863","05763"
"864","84311"
"865","15711"
"866","78144"
"867","23163"
"868","75764"
"869","66541"
"870","62856"
"871","68978"
"872","30043"
"873","68939"
"874","97211"
"875","11754"
"876","97135"
"877","25264"
"878","15644"
"879","58219"
"880","79326"
"881","62279"
"882","45859"
"883","29709"
"884","31792"
"885","66618"
"886","08731"
"887","07458"
"888","58844"
"889","36330"
"890","35117"
"891","31016"
"892","96716"
"893","60301"
"894","30092"
"895","46767"
"896","46217"
"897","46383"
"898","41772"
"899","42028"
"900","92352"
"901","92571"
"902","95695"
"903","95653"
"904","47437"
"905","30187"
"906","30540"
"907","47143"
"908","46933"
"909","46104"
"910","46044"
"911","70529"
"912","48626"
"913","48316"
"914","48360"
"915","47654"
"916","96040"
"917","94402"
"918","30316"
"919","31307"
"920","30753"
"921","46763"
"922","47955"
"923","47115"
"924","50630"
"925","70354"
"926","46146"
"927","70665"
"928","70721"
"929","70552"
"930","04574"
"931","95387"
"932","92113"
"933","93255"
"934","30038"
"935","31641"
"936","31629"
"937","46016"
"938","50170"
"939","50025"
"940","50101"
"941","50067"
"942","04451"
"943","04475"
"944","70581"
"945","20740"
"946","21234"
"947","95957"
"948","50667"
"949","92843"
"950","83605"
"951","96729"
"952","50128"
"953","50468"
"954","50027"
"955","50668"
"956","52807"
"957","21213"
"958","04227"
"959","50039"
"960","20876"
"961","04468"
"962","93465"
"963","93926"
"964","96749"
"965","96857"
"966","39866"
"967","31807"
"968","52255"
"969","50569"
"970","50314"
"971","51575"
"972","50233"
"973","50438"
"974","04418"
"975","04493"
"976","04267"
"977","21401"
"978","92612"
"979","95325"
"980","60404"
"981","51436"
"982","60478"
"983","60187"
"984","60126"
"985","60025"
"986","60137"
"987","52154"
"988","52347"
"989","50517"
"990","01039"
"991","01109"
"992","52401"
"993","20777"
"994","49450"
"995","01876"
"996","01503"
"997","94586"
"998","94963"
"999","80516"
"1000","60436"
