,zipcode,county,state,latitude,longitude
27015,46943,Wabash County,IN,40.9733672,-85.8396655
27016,72137,White County,AR,35.3513078,-92.0469151
27017,42129,Metcalfe County,KY,,
27018,37849,Knox County,TN,36.0603038,-84.0273168
27019,06263,Windham County,CT,41.8418038,-71.91067869999999
27020,26662,Nicholas County,WV,38.2432112,-80.7824012
27021,52401,Linn County,IA,41.97464,-91.6590662
27022,24059,Roanoke County,VA,37.1521835,-80.1316927
27023,59802,Missoula County,MT,46.9539821,-113.9120099
27024,73117,Oklahoma County,OK,35.4723221,-97.4543626
27025,36271,Calhoun County,AL,33.7539453,-85.9917437
27026,58277,Steele County,ND,47.6357846,-97.8176892
27027,50070,Adair County,IA,41.3828554,-94.2538452
27028,12979,Clinton County,NY,44.9990367,-73.3646298
27029,16212,Armstrong County,PA,,
27030,68713,Holt County,NE,42.4735579,-98.9687011
27031,89521,Storey County,NV,39.38313910000001,-119.6499162
27032,34614,Hernando County,FL,28.6286936,-82.49693309999999
27033,75642,Harrison County,TX,32.3683862,-94.1836292
27034,24318,Bland County,VA,37.0039388,-81.36194019999999
27035,17223,Fulton County,PA,40.0814424,-77.95673239999999
27036,03586,Grafton County,NH,44.2153053,-71.7977016
27037,11226,Kings County,NY,40.6470923,-73.9536163
27038,44217,Wayne County,OH,40.9475377,-81.9207423
27039,45388,Darke County,OH,40.3095309,-84.46976629999999
27040,11220,Kings County,NY,40.6385229,-74.0153231
27041,11691,Queens County,NY,40.6024346,-73.762495
27042,16843,Clearfield County,PA,41.00326159999999,-78.4631169
27043,55991,Wabasha County,MN,44.2509609,-92.4109908
27044,49715,Chippewa County,MI,46.4323632,-84.7032861
27045,20701,Anne Arundel County,MD,39.1202934,-76.77693239999999
27046,74604,Kay County,OK,36.6848687,-96.9853474
27047,67478,Mitchell County,KS,39.383807,-97.9303459
27048,17063,Mifflin County,PA,40.7396655,-77.4931403
27049,36445,Monroe County,AL,31.4670212,-87.5000082
27050,07846,Warren County,NJ,40.9654841,-74.87775909999999
27051,15424,Somerset County,PA,39.8395444,-79.3578201
27052,16255,Clarion County,PA,41.1275102,-79.4591378
27053,26234,Upshur County,WV,38.7679385,-80.254435
27054,85757,Pima County,AZ,32.1237843,-111.1056539
27055,99588,Valdez-Cordova Census Area,AK,62.1770344,-146.9326178
27056,62554,Macon County,IL,39.9447965,-88.8551019
27057,01096,Hampshire County,MA,42.4113943,-72.7688226
27058,20111,Prince William County,VA,38.7550023,-77.4357739
27059,23140,New Kent County,VA,37.4520928,-77.03341790000002
27060,03835,Strafford County,NH,43.3526526,-71.0735476
27061,57422,Day County,SD,45.3845012,-97.8969345
27062,49068,Calhoun County,MI,42.2637126,-84.9609464
27063,63430,Clark County,MO,40.3503073,-91.4918235
27064,85939,Navajo County,AZ,34.4394301,-110.170041
27065,14502,Wayne County,NY,43.0968034,-77.3439283
27066,30751,Murray County,GA,34.9854984,-84.73780789999999
27067,59545,Liberty County,MT,48.9384611,-111.158664
27068,43460,Wood County,OH,41.6056979,-83.5656379
27069,49762,Mackinac County,MI,46.1501399,-85.2784131
27070,88414,Union County,NM,36.7404021,-103.9949015
27071,64628,Linn County,MO,39.79771179999999,-93.0375914
27072,32696,Levy County,FL,29.4130369,-82.4536115
27073,55447,Hennepin County,MN,44.9932921,-93.4959133
27074,39111,Simpson County,MS,31.8332555,-89.7567693
27075,03230,Merrimack County,NH,19.3684751,-99.1795226
27076,47235,Jackson County,IN,38.9971567,-86.1446493
27077,96853,Honolulu County,HI,21.3315596,-157.9374589
27078,98530,Thurston County,WA,46.79741689999999,-122.8731314
27079,58734,Ward County,ND,48.5479806,-101.8796166
27080,48334,Oakland County,MI,42.5049385,-83.3468784
27081,21875,Wicomico County,MD,38.4268015,-75.5160235
27082,56736,Polk County,MN,47.715357,-96.1935313
27083,92333,San Bernardino County,CA,34.2636333,-116.9734685
27084,02366,Plymouth County,MA,41.8426145,-70.7458867
27085,24884,McDowell County,WV,37.26065579999999,-81.52672820000001
27086,15401,Fayette County,PA,39.916922,-79.7624177
27087,94805,Contra Costa County,CA,37.9383242,-122.3277578
27088,25813,Raleigh County,WV,37.7898199,-81.0975397
27089,45304,Darke County,OH,39.9965997,-84.54318669999999
27090,36112,Montgomery County,AL,32.3774753,-86.3630197
27091,46777,Wells County,IN,40.8779373,-85.1686743
27092,56676,Beltrami County,MN,47.6294169,-95.1330675
27093,44302,Summit County,OH,41.08893279999999,-81.5363297
27094,67055,Sedgwick County,KS,37.7825903,-97.2029386
27095,11203,Kings County,NY,40.6515882,-73.93304289999999
27096,01040,Hampden County,MA,42.2172092,-72.6269437
27097,02651,Barnstable County,MA,41.8554135,-69.9865307
27098,30041,Forsyth County,GA,34.2000834,-84.0907246
27099,33070,Monroe County,FL,25.0154628,-80.5105028
27100,76036,Tarrant County,TX,32.5671309,-97.4165053
27101,72703,Washington County,AR,36.1192532,-94.0388918
27102,47955,Montgomery County,IN,40.195234,-86.87221459999999
27103,69365,Sheridan County,NE,42.99682,-102.55444
27104,11552,Nassau County,NY,40.692165,-73.6477342
27105,54407,Portage County,WI,44.5292417,-89.3037147
27106,29929,Colleton County,SC,32.9506992,-80.92077370000001
27107,56553,Wilkin County,MN,46.4594431,-96.6271847
27108,71655,Drew County,AR,33.6946684,-91.7538817
27109,73719,Alfalfa County,OK,36.9536062,-98.2978951
27110,55969,Winona County,MN,44.0710965,-91.8806237
27111,10020,New York County,NY,40.7605505,-73.98226830000002
27112,38450,Wayne County,TN,35.1736018,-87.8353278
27113,38361,Hardin County,TN,35.3122917,-88.2655845
27114,88330,Otero County,NM,32.8440404,-106.099291
27115,76127,Tarrant County,TX,32.7740295,-97.4327273
27116,45311,Preble County,OH,39.6328845,-84.6688348
27117,14784,Chautauqua County,NY,42.3142521,-79.4028639
27118,50262,Decatur County,IA,40.8759337,-93.8044831
27119,27958,Currituck County,NC,36.5074307,-76.1551866
27120,77326,Polk County,TX,30.5096599,-94.8182656
27121,86436,Mohave County,AZ,34.7444764,-114.3697976
27122,83526,Idaho County,ID,46.1211546,-116.4330159
27123,33513,Sumter County,FL,28.657897,-82.1931149
27124,13788,Delaware County,NY,,
27125,31720,Brooks County,GA,30.8943344,-83.7365154
27126,03827,Rockingham County,NH,42.8983828,-70.99034379999999
27127,68718,Knox County,NE,42.6470935,-97.654811
27128,94951,Sonoma County,CA,38.3236587,-122.6447001
27129,01850,Middlesex County,MA,42.6568135,-71.3022688
27130,55814,St. Louis County,MN,46.84,-92.19
27131,65337,Pettis County,MO,38.791002,-93.4397386
27132,87112,Bernalillo County,NM,35.1030501,-106.5171626
27133,52722,Scott County,IA,41.5703144,-90.4596721
27134,61250,Whiteside County,IL,41.641037,-90.1120696
27135,45688,Lawrence County,OH,38.7289006,-82.5402275
27136,16823,Centre County,PA,40.9240628,-77.7223162
27137,35749,Madison County,AL,34.8415435,-86.761749
27138,42127,Barren County,KY,,
27139,48434,Sanilac County,MI,43.6642502,-82.6078205
27140,83232,Franklin County,ID,42.1353921,-111.9701346
27141,67036,Harper County,KS,37.3114393,-97.8939317
27142,28657,Avery County,NC,36.0132821,-81.931657
27143,04103,Cumberland County,ME,43.6892051,-70.2720042
27144,97384,Marion County,OR,44.7908513,-122.6203107
27145,98604,Clark County,WA,45.7999734,-122.5510603
27146,76874,Kimble County,TX,30.4483806,-100.0695367
27147,61340,Putnam County,IL,41.2655561,-89.2493925
27148,82443,Hot Springs County,WY,43.7102608,-108.4670603
27149,74647,Kay County,OK,36.8992392,-96.9853474
27150,17018,Dauphin County,PA,40.4011263,-76.8836261
27151,49010,Allegan County,MI,42.5166512,-85.8895551
27152,41739,Perry County,KY,37.3364353,-83.12828979999999
27153,87557,Taos County,NM,36.2847615,-105.6177942
27154,77429,Harris County,TX,30.0141064,-95.6668306
27155,55119,Ramsey County,MN,44.9325287,-93.0075642
27156,58212,Nelson County,ND,47.703681,-97.982082
27157,78352,San Patricio County,TX,27.9735472,-97.6753249
27158,47164,Harrison County,IN,38.3997511,-86.1141045
27159,21216,Baltimore city,MD,39.30969839999999,-76.6701475
27160,28097,Stanly County,NC,35.3040317,-80.3992652
27161,02635,Barnstable County,MA,41.6185446,-70.4372404
27162,13416,Herkimer County,NY,,
27163,92545,Riverside County,CA,33.736074,-117.0205594
27164,44010,Ashtabula County,OH,41.7623044,-80.8433145
27165,99903,Wrangell City and Borough,AK,55.7318414,-132.0943999
27166,05150,Windsor County,VT,6.1524538,100.3554035
27167,08528,Somerset County,NJ,40.3852839,-74.6151551
27168,58424,Stutsman County,ND,46.8897486,-99.1205902
27169,02896,Providence County,RI,41.9691255,-71.560526
27170,19006,Montgomery County,PA,40.1206597,-75.0552739
27171,54654,Crawford County,WI,43.2652982,-90.9580177
27172,28685,Wilkes County,NC,36.33877349999999,-81.0533854
27173,57365,Lyman County,SD,43.8305138,-99.4228263
27174,60111,DeKalb County,IL,42.0126088,-88.8070886
27175,52251,Iowa County,IA,41.7095327,-92.2138289
27176,73651,Kiowa County,OK,35.0283111,-99.0792263
27177,22639,Fauquier County,VA,38.8158244,-78.0081221
27178,13341,Oneida County,NY,43.0370934,-75.39732339999999
27179,04758,Aroostook County,ME,46.5557595,-67.8644119
27180,62979,Gallatin County,IL,37.8062385,-88.2363819
27181,37064,Williamson County,TN,35.89872340000001,-86.96240859999999
27182,54985,Winnebago County,WI,44.0750354,-88.52494089999999
27183,16329,Warren County,PA,41.8165965,-79.2620294
27184,76253,Cooke County,TX,33.6250843,-97.317567
27185,61375,Marshall County,IL,41.0569856,-89.2277026
27186,29150,Sumter County,SC,33.852666,-80.3547286
27187,30549,Jackson County,GA,34.0963975,-83.57096399999999
27188,32127,Volusia County,FL,29.1145775,-80.9745372
27189,51237,Lyon County,IA,43.3456274,-96.0044121
27190,97520,Jackson County,OR,42.1990323,-122.4562968
27191,12168,Rensselaer County,NY,,
27192,38641,DeSoto County,MS,34.8843708,-90.1682271
27193,84701,Sevier County,UT,38.6927489,-111.9760964
27194,28781,Macon County,NC,35.2003906,-83.6135572
27195,07627,Bergen County,NJ,40.9531023,-73.9536163
27196,74761,Choctaw County,OK,33.989011,-95.1744903
27197,56136,Lincoln County,MN,44.50352100000001,-96.3864428
27198,10279,New York County,NY,,
27199,99147,Lincoln County,WA,47.8349676,-118.4375725
27200,45840,Hancock County,OH,41.0462307,-83.6561215
27201,06250,Tolland County,CT,41.78100730000001,-72.1771541
27202,23480,Accomack County,VA,37.5993134,-75.6891699
27203,01824,Middlesex County,MA,42.6004425,-71.3468091
27204,14092,Niagara County,NY,43.1728044,-78.9853813
27205,31072,Wilcox County,GA,31.9439613,-83.57096399999999
27206,38577,Fentress County,TN,36.5679232,-84.9609464
27207,73061,Noble County,OK,36.3405945,-96.9853474
27208,56650,Beltrami County,MN,48.0288631,-94.5824787
27209,11416,Queens County,NY,40.6853768,-73.8492576
27210,61437,Henderson County,IL,40.8533052,-91.0011902
27211,82213,Platte County,WY,42.4565533,-104.9856176
27212,29934,Jasper County,SC,32.5963474,-81.1306391
27213,85333,Yuma County,AZ,32.9890375,-113.3347215
27214,17824,Northumberland County,PA,40.8541937,-76.4910093
27215,63703,Cape Girardeau County,MO,37.2856186,-89.5403279
27216,48505,Genesee County,MI,43.0686471,-83.6880257
27217,46148,Henry County,IN,39.791446,-85.49941919999999
27218,90031,Los Angeles County,CA,34.081032,-118.2117257
27219,45333,Shelby County,OH,40.231628,-84.3331694
27220,25169,Lincoln County,WV,38.1663149,-81.78963809999999
27221,11757,Suffolk County,NY,40.6821467,-73.3767641
27222,08326,Atlantic County,NJ,39.543731,-74.93549089999999
27223,33635,Hillsborough County,FL,28.0253541,-82.62133109999999
27224,75792,Smith County,TX,32.5011461,-95.1223608
27225,93616,Fresno County,CA,36.642368,-119.5919555
27226,58521,Burleigh County,ND,46.9842311,-100.7327964
27227,28615,Ashe County,NC,36.4694353,-81.6692532
27228,98039,King County,WA,47.6258071,-122.2421963
27229,68325,Thayer County,NE,40.0582655,-97.7742702
27230,21060,Anne Arundel County,MD,39.167568,-76.5892774
27231,72462,Randolph County,AR,36.3718039,-90.7556575
27232,93656,Fresno County,CA,36.4553949,-119.950926
27233,45306,Shelby County,OH,40.4566551,-84.15406589999999
27234,80543,Weld County,CO,40.3471931,-104.8571368
27235,07026,Bergen County,NJ,40.8761974,-74.1063776
27236,56252,Swift County,MN,45.1598783,-95.2567494
27237,92266,Imperial County,CA,33.3342668,-114.9516869
27238,13338,Oneida County,NY,43.4747359,-75.0844757
27239,90650,Los Angeles County,CA,33.90777509999999,-118.0830047
27240,91106,Los Angeles County,CA,34.1456654,-118.1268976
27241,76102,Tarrant County,TX,32.7579468,-97.3246534
27242,58218,Traill County,ND,47.5709329,-96.9861582
27243,68331,Gage County,NE,40.4999426,-96.7279918
27244,45701,Athens County,OH,39.32218390000001,-82.10606829999999
27245,48131,Monroe County,MI,41.9648232,-83.6986568
27246,52542,Van Buren County,IA,40.6265905,-92.0567163
27247,50575,Calhoun County,IA,42.5728882,-94.6863782
27248,43515,Fulton County,OH,41.5842084,-83.99558789999999
27249,04841,Knox County,ME,44.1210311,-69.1239068
27250,36580,Baldwin County,AL,30.496329,-87.70740889999999
27251,57219,Day County,SD,45.2963479,-97.8048733
27252,48631,Bay County,MI,43.6907603,-83.99558789999999
27253,26276,Randolph County,WV,39.0127179,-79.81352799999999
27254,61377,Marshall County,IL,41.0558673,-89.0752499
27255,38545,Putnam County,TN,36.1963851,-85.62036289999999
27256,13864,Tioga County,NY,42.29459260000001,-76.39845369999999
27257,31648,Echols County,GA,30.71660349999999,-82.9609096
27258,38551,Clay County,TN,36.5670872,-85.47880649999999
27259,14815,Steuben County,NY,42.3758089,-77.09098089999999
27260,67648,Russell County,KS,39.06916950000001,-98.5501283
27261,28660,Iredell County,NC,35.9690085,-80.86545339999999
27262,13032,Madison County,NY,43.0808792,-75.754806
27263,13845,Tioga County,NY,,
27264,51008,Plymouth County,IA,42.8093486,-96.2699588
27265,99840,Skagway Municipality,AK,59.54944020000001,-135.2690266
27266,84015,Davis County,UT,41.1333549,-112.0595603
27267,97202,Multnomah County,OR,45.4807521,-122.6427372
27268,75474,Hunt County,TX,32.9083601,-96.0891032
