,ClimateZone,Case,PUE_quantiles,WUE_quantiles,CoolingSystem
69,3B,9,"[1.8707569420337677, 1.9742982089519499, 2.0733801, 2.2734599831352234, 2.618434906005859]","[0.025079219695180607, 0.04225922655314203, 0.0637559406459331, 0.08614549785852432, 0.10342667102813717]",Air-cooled chiller
70,3C,0,"[1.0857070207595825, 1.1223876476287842, 1.153599739074707, 1.1830080151557922, 1.230678141117096]","[3.721414959727554e-05, 0.005864125443622425, 0.00931656919419765, 0.014126028167083825, 0.03904676511883734]",Airside economizer& adiabatic cooling (air-cooled chiller)
71,3C,1,"[1.0719543874263764, 1.100255161523819, 1.1302757859230042, 1.1590030193328857, 1.1899280846118927]","[0.02144565656781196, 0.11976324580609793, 0.20830465853214264, 0.3688165619969368, 0.6702635675668716]",Airside economizer& adiabatic cooling (water-cooled chiller)
72,3C,10,"[1.8566418290138245, 1.9523650109767914, 2.0425736904144287, 2.1858683228492737, 2.329392123222351]","[0.02514090789481991, 0.042063647881150176, 0.0633214600384235, 0.08565690182149405, 0.1043031349778175]",Direct expansion system
73,3C,11,"[1.6369619190692901, 1.7554156184196472, 1.8435601592063902, 1.9750606715679173, 2.1488594889640806]","[0.023703641258180082, 0.03937155380845062, 0.06006031110882755, 0.08096795715391635, 0.0980732396245002]",Direct expansion system
74,3C,12,"[1.4934283435344695, 1.5762137472629547, 1.6603179574012756, 1.7378102242946625, 1.8798969626426696]","[0.010034959390759416, 0.017137515824288074, 0.0231229923665523, 0.03129651490598915, 0.049357430450618245]",Airside economizer (direct expansion system)
75,3C,13,"[1.3188990250000001, 1.399879325, 1.46378735, 1.531133475, 1.627158865]","[0.00631919691804795, 0.011023470200598224, 0.0152021283283829, 0.021782186347991176, 0.0365752808749675]",Airside economizer (direct expansion system)
76,3C,17,"[1.3671480774879456, 1.449523001909256, 1.5143795609474182, 1.586021661758423, 1.6890042960643767]","[0.0240063443779945, 0.039599710144102546, 0.0603818148374557, 0.08071849122643465, 0.09774784892797464]",Dry cooler (air-cooled chiller)
77,3C,3,"[1.3134787440299986, 1.3691613972187042, 1.4225477576255798, 1.4788492321968079, 1.5417924642562866]","[0.3361722886562348, 0.5282588750123978, 0.7801564931869507, 1.0691532492637636, 1.4470562160015106]",Airside economizer& (water-cooled chiller)
78,3C,4,"[1.2564221143722534, 1.3102108240127563, 1.3671674728393555, 1.4165049195289612, 1.4792816519737244]","[2.138223350048065, 2.3275157809257507, 2.4895105361938477, 2.6758540868759155, 2.916371142864228]",Waterside economizer& (water-cooled chiller)
79,3C,5,"[1.4134586930274964, 1.4703641831874847, 1.5284238457679749, 1.5971957743167877, 1.6620046138763427]","[2.4957656502723693, 2.7171096801757812, 2.900517463684082, 3.095530867576599, 3.3910747170448303]",Water-cooled chiller
80,3C,6,"[1.3522585153579711, 1.4364931285381317, 1.5088127255439758, 1.5796437561511993, 1.705322766304016]","[0.004135671583935576, 0.00957360723987215, 0.0147279589436948, 0.0230450443923473, 0.04341392088681452]",Airside economizer& (air-cooled chiller)
81,3C,7,"[1.6384692251682282, 1.7486977875232697, 1.8519209027290344, 1.9899028539657593, 2.25508531332016]","[0.023788104485720354, 0.03963660355657338, 0.0595275983214378, 0.08067504130303856, 0.09816830307245254]",Air-cooled chiller
82,3C,8,"[1.5973779797554015, 1.6609259843826294, 1.71444171667099, 1.7780713140964508, 1.8732950150966645]","[2.788312196731568, 3.0422962307929993, 3.2462955713272095, 3.4549256563186646, 3.8419475078582765]",Water-cooled chiller
83,3C,9,"[1.8247603952884675, 1.9166010916233058, 2.0046095848083496, 2.182401716709137, 2.471168279647827]","[0.025295608118176424, 0.04189033899456257, 0.0634297095239162, 0.08556082844734188, 0.1035154812037944]",Air-cooled chiller
84,4A,0,"[1.11455479, 1.154161575, 1.1887968, 1.2170029, 1.254734045]","[0.0064666661433874905, 0.012441196013242, 0.0166185228154063, 0.02121446933597325, 0.029120033793151277]",Airside economizer& adiabatic cooling (air-cooled chiller)
